Provider #,Site Name,State,Type (group),Type,City,County,Rural Status,Site Subcategory,# of Beds,.Hospital Locations,Latitude,Longitude
330182,"ST FRANCIS HOSPITAL, ROSLYN",NY,All Others,Short-Term Hospital,Roslyn,Nassau County,No,Short Term,364,Point,40.80431102,-73.67058691
330193,FLUSHING HOSPITAL MEDICAL CENTER,NY,All Others,Short-Term Hospital,Flushing,Queens County,No,Short Term,293,Point,40.75563001,-73.81564002
330231,QUEENS HOSPITAL CENTER,NY,All Others,Short-Term Hospital,Jamaica,Queens County,No,Short Term,581,Point,40.71700411,-73.80408984
330184,MONTEFIORE NEW ROCHELLE HOSPITAL,NY,All Others,Short-Term Hospital,New Rochelle,Westchester County,No,Short Term,242,Point,40.91278119,-73.78749794
330270,HOSPITAL FOR SPECIAL SURGERY,NY,All Others,Short-Term Hospital,New York,New York County,No,Short Term,205,Point,40.76490572,-73.95290357
330154,MEMORIAL HOSPITAL FOR CANCER AND ALLIED DISEASES,NY,All Others,Short-Term Hospital,New York,New York County,No,Short Term,514,Point,40.76405353,-73.95602583
330411,UNITY SPECIALTY HOSPITAL,NY,All Others,Short-Term Hospital,Rochester,Monroe County,No,Short Term,97,Point,43.14874157,-77.63719971
330164,HIGHLAND HOSPITAL,NY,All Others,Short-Term Hospital,Rochester,Monroe County,No,Short Term,261,Point,43.13561023,-77.60616253
330226,UNITY HOSPITAL OF ROCHESTER,NY,All Others,Short-Term Hospital,Rochester,Monroe County,No,Short Term,311,Point,43.19247843,-77.70413348
330125,ROCHESTER GENERAL HOSPITAL,NY,All Others,Short-Term Hospital,Rochester,Monroe County,No,Short Term,528,Point,43.19153379,-77.58558839
330224,HEALTHALLIANCE HOSPITAL MARYS AVENUE CAMPUS,NY,All Others,Short-Term Hospital,Kingston,Ulster County,No,Short Term,222,Point,41.9216097,-73.99988112
330104,NYACK HOSPITAL,NY,All Others,Short-Term Hospital,Nyack,Rockland County,No,Short Term,375,Point,41.0960898,-73.92610772
330405,HELEN HAYES HOSPITAL,NY,All Others,Short-Term Hospital,West Haverstraw,Rockland County,No,Short Term,130,Point,41.21423214,-73.98834058
330158,GOOD SAMARITAN HOSPITAL OF SUFFERN,NY,All Others,Short-Term Hospital,Suffern,Rockland County,No,Short Term,269,Point,41.11161179,-74.13504509
330307,CAYUGA MEDICAL CENTER AT ITHACA,NY,All Others,Short-Term Hospital,Ithaca,Tompkins County,No,Short Term,212,Point,42.46888474,-76.5373314
330265,CLIFTON SPRINGS HOSPITAL AND CLINIC,NY,All Others,Short-Term Hospital,Clifton Springs,Ontario County,No,Short Term,154,Point,42.95966122,-77.13643589
330107,PECONIC BAY MEDICAL CENTER,NY,All Others,Short-Term Hospital,Riverhead,Suffolk County,No,Short Term,122,Point,40.93266997,-72.68017997
330393,STONY BROOK UNIVERSITY HOSPITAL,NY,All Others,Short-Term Hospital,Stony Brook,Suffolk County,No,Short Term,728,Point,40.90725002,-73.11105516
330185,JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,NY,All Others,Short-Term Hospital,Port Jefferson,Suffolk County,No,Short Term,248,Point,40.93925626,-73.05438493
330160,STATEN ISLAND UNIVERSITY HOSPITAL,NY,All Others,Short-Term Hospital,Staten Island,Richmond County,No,Short Term,714,Point,40.58452532,-74.08561248
330205,ST ANTHONY COMMUNITY HOSPITAL,NY,All Others,Short-Term Hospital,Warwick,Orange County,No,Short Term,60,Point,41.26131095,-74.35729788
330264,ST LUKE'S CORNWALL HOSPITAL,NY,All Others,Short-Term Hospital,Newburgh,Orange County,No,Short Term,244,Point,41.50341895,-74.01449505
330126,GARNET HEALTH MEDICAL CENTER,NY,All Others,Short-Term Hospital,Middletown,Orange County,No,Short Term,450,Point,41.44184138,-74.36814683
330406,SUNNYVIEW HOSPITAL AND REHABILITATION CENTER,NY,All Others,Short-Term Hospital,Schenectady,Schenectady County,No,Short Term,115,Point,42.82200716,-73.91410971
330222,SARATOGA HOSPITAL,NY,All Others,Short-Term Hospital,Saratoga Springs,Saratoga County,No,Short Term,171,Point,43.08570074,-73.79705885
330153,ELLIS HOSPITAL,NY,All Others,Short-Term Hospital,Schenectady,Schenectady County,No,Short Term,368,Point,42.81997772,-73.91651807
330013,ALBANY MEDICAL CENTER HOSPITAL,NY,All Others,Short-Term Hospital,Albany,Albany County,No,Short Term,732,Point,42.65313234,-73.77529892
330399,ST BARNABAS HOSPITAL,NY,All Others,Short-Term Hospital,Bronx,Bronx County,No,Short Term,446,Point,40.8532905,-73.89143019
330009,BRONXCARE HOSPITAL CENTER,NY,All Others,Short-Term Hospital,Bronx,Bronx County,No,Short Term,579,Point,40.83165677,-73.90353433
330019,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",NY,All Others,Short-Term Hospital,Brooklyn,Kings County,No,Short Term,134,Point,40.61386827,-73.94835991
330236,NEW YORK-PRESBYTERIAN BROOKLYN METHODIST HOSPITAL,NY,All Others,Short-Term Hospital,Brooklyn,Kings County,No,Short Term,591,Point,40.66822009,-73.97935124
330198,MOUNT SINAI SOUTH NASSAU,NY,All Others,Short-Term Hospital,Oceanside,Nassau County,No,Short Term,435,Point,40.65130235,-73.6310695
330259,MERCY MEDICAL CENTER,NY,All Others,Short-Term Hospital,Rockville Centre,Nassau County,No,Short Term,375,Point,40.68824299,-73.63141769
330162,NORTHERN WESTCHESTER HOSPITAL,NY,All Others,Short-Term Hospital,Mount Kisco,Westchester County,No,Short Term,259,Point,41.19595252,-73.72479546
330180,SAMARITAN HOSPITAL,NY,All Others,Short-Term Hospital,Troy,Rensselaer County,No,Short Term,238,Point,42.73343353,-73.67237896
330202,KINGS COUNTY HOSPITAL CENTER,NY,All Others,Short-Term Hospital,Brooklyn,Kings County,No,Short Term,639,Point,40.65625803,-73.94461571
330350,SUNY HEALTH SCIENCE CENTER AT BROOKLYN UNIVERSITY,NY,All Others,Short-Term Hospital,Brooklyn,Kings County,No,Short Term,376,Point,40.65473516,-73.9442822
330027,NASSAU UNIVERSITY MEDICAL CENTER,NY,All Others,Short-Term Hospital,East Meadow,Nassau County,No,Short Term,530,Point,40.72641896,-73.55334328
330219,ERIE COUNTY MEDICAL CENTER,NY,All Others,Short-Term Hospital,Buffalo,Erie County,No,Short Term,526,Point,42.92726731,-78.82927821
330128,ELMHURST HOSPITAL CENTER,NY,All Others,Short-Term Hospital,Elmhurst,Queens County,No,Short Term,545,Point,40.74459411,-73.88617449
330100,N Y EYE AND EAR INFIRMARY,NY,All Others,Short-Term Hospital,New York,New York County,No,Short Term,69,Point,40.72166382,-73.98232816
330028,RICHMOND UNIVERSITY MEDICAL CENTER,NY,All Others,Short-Term Hospital,Staten Island,Richmond County,No,Short Term,473,Point,40.63555443,-74.1064789
330273,PUTNAM HOSPITAL CENTER,NY,All Others,Short-Term Hospital,Carmel,Putnam County,No,Short Term,164,Point,41.3832049,-73.66277162
330233,BROOKDALE HOSPITAL MEDICAL CENTER,NY,All Others,Short-Term Hospital,Brooklyn,Kings County,No,Short Term,1120,Point,40.65450164,-73.91243382
330044,FAXTON-ST LUKE'S HEALTHCARE,NY,All Others,Short-Term Hospital,New Hartford,Oneida County,No,Short Term,372,Point,43.09803119,-75.27539917
330279,MERCY HOSPITAL OF BUFFALO,NY,All Others,Short-Term Hospital,Buffalo,Erie County,No,Short Term,387,Point,42.84820902,-78.81292507
330140,ST JOSEPH'S HOSPITAL HEALTH CENTER,NY,All Others,Short-Term Hospital,Syracuse,Onondaga County,No,Short Term,431,Point,43.05537392,-76.15042753
330204,BELLEVUE HOSPITAL CENTER,NY,All Others,Short-Term Hospital,New York,New York County,No,Short Term,912,Point,40.73954829,-73.97633468
330055,NEW YORK-PRESBYTERIAN/QUEENS,NY,All Others,Short-Term Hospital,Flushing,Queens County,No,Short Term,535,Point,40.7469726,-73.8257133
330194,MAIMONIDES MEDICAL CENTER,NY,All Others,Short-Term Hospital,Brooklyn,Kings County,No,Short Term,711,Point,40.63936883,-73.99866952
330023,VASSAR BROTHERS MEDICAL CENTER,NY,All Others,Short-Term Hospital,Poughkeepsie,Dutchess County,No,Short Term,365,Point,41.69380265,-73.93560751
330078,SISTERS OF CHARITY HOSPITAL,NY,All Others,Short-Term Hospital,Buffalo,Erie County,No,Short Term,413,Point,42.92944312,-78.84939415
330046,MOUNT SINAI WEST,NY,All Others,Short-Term Hospital,New York,New York County,No,Short Term,1028,Point,40.77008507,-73.98740332
330195,LONG ISLAND JEWISH MEDICAL CENTER,NY,All Others,Short-Term Hospital,New Hyde Park,Queens County,No,Short Term,1025,Point,40.75318307,-73.70703366
330169,MOUNT SINAI BETH ISRAEL,NY,All Others,Short-Term Hospital,New York,New York County,No,Short Term,1111,Point,40.73267001,-73.98161997
330412,OMNI SURGERY CENTER,NY,All Others,Short-Term Hospital,Utica,Oneida County,No,Short Term,1,Point,43.08652162,-75.2784278
330261,PHELPS HOSPITAL,NY,All Others,Short-Term Hospital,Sleepy Hollow,Westchester County,No,Short Term,235,Point,41.11038325,-73.86405557
330119,LENOX HILL HOSPITAL,NY,All Others,Short-Term Hospital,New York,New York County,No,Short Term,652,Point,40.77420206,-73.96134081
330234,WESTCHESTER MEDICAL CENTER,NY,All Others,Short-Term Hospital,Valhalla,Westchester County,No,Short Term,895,Point,41.08902794,-73.80449496
330059,MONTEFIORE MEDICAL CENTER,NY,All Others,Short-Term Hospital,Bronx,Bronx County,No,Short Term,1491,Point,40.8798722,-73.87989652
330024,MOUNT SINAI HOSPITAL,NY,All Others,Short-Term Hospital,New York,New York County,No,Short Term,1171,Point,40.79039019,-73.95339232
330005,KALEIDA HEALTH,NY,All Others,Short-Term Hospital,Buffalo,Erie County,No,Short Term,986,Point,42.90090563,-78.86598437
330240,HARLEM HOSPITAL CENTER,NY,All Others,Short-Term Hospital,New York,New York County,No,Short Term,268,Point,40.81447528,-73.94039968
330006,ST JOSEPH'S MEDICAL CENTER,NY,All Others,Short-Term Hospital,Yonkers,Westchester County,No,Short Term,332,Point,40.92929697,-73.89765551
330208,ST JOHN'S RIVERSIDE HOSPITAL,NY,All Others,Short-Term Hospital,Yonkers,Westchester County,No,Short Term,385,Point,40.9677605,-73.88502483
330267,HUDSON VALLEY HOSPITAL CENTER,NY,All Others,Short-Term Hospital,Cortlandt Manor,Westchester County,No,Short Term,128,Point,41.29154862,-73.89360446
330214,NYU LANGONE HOSPITALS,NY,All Others,Short-Term Hospital,New York,New York County,No,Short Term,1069,Point,40.74231151,-73.97430282
330332,ST JOSEPH HOSPITAL,NY,All Others,Short-Term Hospital,Bethpage,Nassau County,No,Short Term,203,Point,40.72630262,-73.47890351
330065,NIAGARA FALLS MEMORIAL MEDICAL CENTER,NY,All Others,Short-Term Hospital,Niagara Falls,Niagara County,No,Short Term,171,Point,43.09395356,-79.04962868
330014,JAMAICA HOSPITAL MEDICAL CENTER,NY,All Others,Short-Term Hospital,Richmond Hill,Queens County,No,Short Term,424,Point,40.70142006,-73.81628995
330086,MONTEFIORE MOUNT VERNON HOSPITAL,NY,All Others,Short-Term Hospital,Mount Vernon,Westchester County,No,Short Term,245,Point,40.91254769,-73.84002435
330221,WYCKOFF HEIGHTS MEDICAL CENTER,NY,All Others,Short-Term Hospital,Brooklyn,Kings County,No,Short Term,324,Point,40.70456725,-73.91757913
330354,ROSWELL PARK CANCER INSTITUTE,NY,All Others,Short-Term Hospital,Buffalo,Erie County,No,Short Term,133,Point,42.89852999,-78.86521998
330157,SAMARITAN MEDICAL CENTER,NY,All Others,Short-Term Hospital,Watertown,Jefferson County,No,Short Term,287,Point,43.96496355,-75.91458785
330056,BROOKLYN HOSPITAL CENTER - DOWNTOWN CAMPUS,NY,All Others,Short-Term Hospital,Brooklyn,Kings County,No,Short Term,464,Point,40.69002666,-73.97746766
330141,LONG ISLAND COMMUNITY HOSPITAL,NY,All Others,Short-Term Hospital,Patchogue,Suffolk County,No,Short Term,306,Point,40.78007114,-72.97658083
330196,SOUTH BROOKLYN HEALTH,NY,All Others,Short-Term Hospital,Brooklyn,Kings County,No,Short Term,371,Point,40.58603017,-73.96573249
330080,LINCOLN MEDICAL & MENTAL HEALTH CENTER,NY,All Others,Short-Term Hospital,Bronx,Bronx County,No,Short Term,586,Point,40.8175424,-73.92409673
330101,NEW YORK-PRESBYTERIAN HOSPITAL,NY,All Others,Short-Term Hospital,New York,New York County,No,Short Term,2262,Point,40.76435495,-73.95450929
330304,WHITE PLAINS HOSPITAL CENTER,NY,All Others,Short-Term Hospital,White Plains,Westchester County,No,Short Term,240,Point,41.02519504,-73.76986502
330090,ARNOT OGDEN MEDICAL CENTER,NY,All Others,Short-Term Hospital,Elmira,Chemung County,No,Short Term,266,Point,42.09947691,-76.82678819
330401,ST CATHERINE OF SIENA HOSPITAL MEDICAL CENTER,NY,All Others,Short-Term Hospital,Smithtown,Suffolk County,No,Short Term,318,Point,40.86837038,-73.22324214
330246,ST CHARLES HOSPITAL,NY,All Others,Short-Term Hospital,Port Jefferson,Suffolk County,No,Short Term,231,Point,40.94653754,-73.06121132
310052,OCEAN UNIVERSITY MEDICAL CENTER,NJ,All Others,Short-Term Hospital,Brick,Ocean County,No,Short Term,436,Point,40.07702598,-74.13181001
310019,ST JOSEPH'S UNIVERSITY MEDICAL CENTER,NJ,All Others,Short-Term Hospital,Paterson,Passaic County,No,Short Term,566,Point,40.90243519,-74.16671142
310010,PENN MEDICINE PRINCETON MEDICAL CENTER,NJ,All Others,Short-Term Hospital,Plainsboro,Middlesex County,No,Short Term,375,Point,40.340127,-74.62380502
310112,BAYSHORE MEDICAL CENTER,NJ,All Others,Short-Term Hospital,Holmdel,Monmouth County,No,Short Term,225,Point,40.40398273,-74.1929368
310034,RIVERVIEW MEDICAL CENTER,NJ,All Others,Short-Term Hospital,Red Bank,Monmouth County,No,Short Term,440,Point,40.35400182,-74.06432379
310024,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL AT RAHWAY,NJ,All Others,Short-Term Hospital,Rahway,Union County,No,Short Term,281,Point,40.61219377,-74.29124161
310003,PALISADES MEDICAL CENTER,NJ,All Others,Short-Term Hospital,North Bergen,Hudson County,No,Short Term,202,Point,40.79414746,-73.99721802
310048,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL SOMERSET,NJ,All Others,Short-Term Hospital,Somerville,Somerset County,No,Short Term,335,Point,40.56800338,-74.59590837
310041,COMMUNITY MEDICAL CENTER,NJ,All Others,Short-Term Hospital,Toms River,Ocean County,No,Short Term,592,Point,39.96523017,-74.21540274
310070,SAINT PETER'S UNIVERSITY HOSPITAL,NJ,All Others,Short-Term Hospital,New Brunswick,Middlesex County,No,Short Term,416,Point,40.50187259,-74.45925024
310032,INSPIRA MEDICAL CENTER VINELAND,NJ,All Others,Short-Term Hospital,Vineland,Cumberland County,No,Short Term,365,Point,39.44526098,-75.05862102
310008,HOLY NAME MEDICAL CENTER,NJ,All Others,Short-Term Hospital,Teaneck,Bergen County,No,Short Term,372,Point,40.8823993,-74.00862822
310057,VIRTUA MOUNT HOLLY HOSPITAL,NJ,All Others,Short-Term Hospital,Mount Holly,Burlington County,No,Short Term,383,Point,39.98608526,-74.79560193
310029,VIRTUA OUR LADY OF LOURDES HOSPITAL,NJ,All Others,Short-Term Hospital,Camden,Camden County,No,Short Term,340,Point,39.92679647,-75.09529118
310108,JFK UNIVERSITY MEDICAL CENTER,NJ,All Others,Short-Term Hospital,Edison,Middlesex County,No,Short Term,459,Point,40.55777611,-74.35056277
310073,JERSEY SHORE UNIVERSITY MEDICAL CENTER,NJ,All Others,Short-Term Hospital,Neptune,Monmouth County,No,Short Term,596,Point,40.20750447,-74.04069537
310039,RARITAN BAY MEDICAL CENTER,NJ,All Others,Short-Term Hospital,Perth Amboy,Middlesex County,No,Short Term,460,Point,40.51879104,-74.28132766
310044,CAPITAL HEALTH MEDICAL CENTER - HOPEWELL,NJ,All Others,Short-Term Hospital,Pennington,Mercer County,No,Short Term,344,Point,40.29302599,-74.80449597
310022,WEST JERSEY HOSPITAL,NJ,All Others,Short-Term Hospital,Voorhees,Camden County,No,Short Term,402,Point,39.84240624,-74.92812619
310075,MONMOUTH MEDICAL CENTER,NJ,All Others,Short-Term Hospital,Long Branch,Monmouth County,No,Short Term,483,Point,40.29544362,-73.98363725
310009,CLARA MAASS MEDICAL CENTER,NJ,All Others,Short-Term Hospital,Belleville,Essex County,No,Short Term,472,Point,40.78579095,-74.17480599
310002,NEWARK BETH ISRAEL MEDICAL CENTER,NJ,All Others,Short-Term Hospital,Newark,Essex County,No,Short Term,665,Point,40.71011138,-74.21383197
310119,UNIVERSITY HOSPITAL,NJ,All Others,Short-Term Hospital,Newark,Essex County,No,Short Term,519,Point,40.74019855,-74.19243384
310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY CAMPUS,NJ,All Others,Short-Term Hospital,Atlantic City,Atlantic County,No,Short Term,593,Point,39.35794016,-74.43368593
310050,SAINT CLARE'S HOSPITAL,NJ,All Others,Short-Term Hospital,Denville,Morris County,No,Short Term,418,Point,40.89438748,-74.465236
310051,OVERLOOK MEDICAL CENTER,NJ,All Others,Short-Term Hospital,Summit,Union County,No,Short Term,504,Point,40.71234289,-74.35403547
310058,BERGEN NEW BRIDGE MEDICAL CENTER,NJ,All Others,Short-Term Hospital,Paramus,Bergen County,No,Short Term,496,Point,40.95627698,-74.06237399
310045,ENGLEWOOD HOSPITAL AND MEDICAL CENTER,NJ,All Others,Short-Term Hospital,Englewood,Bergen County,No,Short Term,531,Point,40.90385647,-73.9675248
310086,JEFFERSON STRATFORD HOSPITAL,NJ,All Others,Short-Term Hospital,Stratford,Camden County,No,Short Term,596,Point,39.82852631,-75.0090289
310076,COOPERMAN BARNABAS MEDICAL CENTER,NJ,All Others,Short-Term Hospital,Livingston,Essex County,No,Short Term,485,Point,40.76345669,-74.30264751
310012,VALLEY HOSPITAL,NJ,All Others,Short-Term Hospital,Ridgewood,Bergen County,No,Short Term,431,Point,40.98397204,-74.10159082
310038,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL,NJ,All Others,Short-Term Hospital,New Brunswick,Middlesex County,No,Short Term,610,Point,40.49580606,-74.45050632
310001,HACKENSACK UNIVERSITY MEDICAL CENTER,NJ,All Others,Short-Term Hospital,Hackensack,Bergen County,No,Short Term,781,Point,40.88236598,-74.05613803
310014,COOPER UNIVERSITY HOSPITAL,NJ,All Others,Short-Term Hospital,Camden,Camden County,No,Short Term,663,Point,39.94081561,-75.11578267
310015,MORRISTOWN MEDICAL CENTER,NJ,All Others,Short-Term Hospital,Morristown,Morris County,No,Short Term,735,Point,40.7881238,-74.46612826
310083,EAST ORANGE GENERAL HOSPITAL,NJ,All Others,Short-Term Hospital,East Orange,Essex County,No,Short Term,211,Point,40.75429717,-74.21409407
310028,NEWTON MEDICAL CENTER,NJ,All Others,Short-Term Hospital,Newton,Sussex County,No,Short Term,148,Point,41.05844898,-74.76692802
310115,HACKETTSTOWN MEDICAL CENTER,NJ,All Others,Short-Term Hospital,Hackettstown,Warren County,No,Short Term,148,Point,40.86094142,-74.81460571
310017,CHILTON MEDICAL CENTER,NJ,All Others,Short-Term Hospital,Pompton Plains,Morris County,No,Short Term,260,Point,40.95923,-74.30809627
310091,SALEM MEDICAL CENTER,NJ,All Others,Short-Term Hospital,Salem,Salem County,No,Short Term,126,Point,39.59381899,-75.44547235
310069,INSPIRA MEDICAL CENTER ELMER,NJ,All Others,Short-Term Hospital,Elmer,Salem County,No,Short Term,91,Point,39.58754668,-75.17977791
310005,HUNTERDON MEDICAL CENTER,NJ,All Others,Short-Term Hospital,Flemington,Hunterdon County,No,Short Term,184,Point,40.53194619,-74.86004376
310060,ST LUKE'S WARREN HOSPITAL,NJ,All Others,Short-Term Hospital,Phillipsburg,Warren County,No,Short Term,214,Point,40.70163073,-75.17959904
310113,SOUTHERN OCEAN MEDICAL CENTER,NJ,All Others,Short-Term Hospital,Manahawkin,Ocean County,No,Short Term,156,Point,39.72045538,-74.28628363
310118,HUDSON REGIONAL HOSPITAL,NJ,All Others,Short-Term Hospital,Secaucus,Hudson County,No,Short Term,200,Point,40.79184067,-74.0720421
310092,CAPITAL HEALTH REGIONAL MEDICAL CENTER,NJ,All Others,Short-Term Hospital,Trenton,Mercer County,No,Short Term,237,Point,40.23616048,-74.75268449
310130,HACKENSACK MERIDIAN HEALTH PASCACK VALLEY MEDICAL,NJ,All Others,Short-Term Hospital,Westwood,Bergen County,No,Short Term,128,Point,40.98401123,-74.01569576
310025,CAREPOINT HEALTH - BAYONNE MEDICAL CENTER,NJ,All Others,Short-Term Hospital,Bayonne,Hudson County,No,Short Term,254,Point,40.66805078,-74.11329355
310084,MONMOUTH MEDICAL CENTER-SOUTHERN CAMPUS,NJ,All Others,Short-Term Hospital,Lakewood,Ocean County,No,Short Term,285,Point,40.07294001,-74.21756803
310096,SAINT MICHAEL'S MEDICAL CENTER,NJ,All Others,Short-Term Hospital,Newark,Essex County,No,Short Term,358,Point,40.74300582,-74.1743263
310016,CAREPOINT HEALTH-CHRIST HOSPITAL,NJ,All Others,Short-Term Hospital,Jersey City,Hudson County,No,Short Term,401,Point,40.7346188,-74.0502722
310027,TRINITAS REGIONAL MEDICAL CENTER,NJ,All Others,Short-Term Hospital,Elizabeth,Union County,No,Short Term,384,Point,40.65902481,-74.21440194
310074,JERSEY CITY MEDICAL CENTER,NJ,All Others,Short-Term Hospital,Jersey City,Hudson County,No,Short Term,255,Point,40.71669624,-74.05036189
310021,ST FRANCIS MEDICAL CENTER,NJ,All Others,Short-Term Hospital,Trenton,Mercer County,No,Short Term,238,Point,40.21731163,-74.74178776
310011,"CAPE REGIONAL MEDICAL CENTER, INC",NJ,All Others,Short-Term Hospital,Cape May Court House,Cape May County,No,Short Term,242,Point,39.08675001,-74.81764516
310040,CAREPOINT HEALTH-HOBOKEN UNIVERSITY MEDICAL CENTER,NJ,All Others,Short-Term Hospital,Hoboken,Hudson County,No,Short Term,333,Point,40.74122676,-74.03357185
310054,"HACKENSACK MERIDIAN HEALTH, MOUNTAINSIDE MEDICAL",NJ,All Others,Short-Term Hospital,Montclair,Essex County,No,Short Term,328,Point,40.81227925,-74.20447774
310006,ST MARY'S GENERAL HOSPITAL,NJ,All Others,Short-Term Hospital,Passaic,Passaic County,No,Short Term,286,Point,40.85855082,-74.13764198
310111,CENTRASTATE MEDICAL CENTER,NJ,All Others,Short-Term Hospital,Freehold,Monmouth County,No,Short Term,273,Point,40.23638901,-74.31089952
310110,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL HAMILTON,NJ,All Others,Short-Term Hospital,Hamilton,Mercer County,No,Short Term,248,Point,40.2163654,-74.67339294
310047,SHORE MEDICAL CENTER,NJ,All Others,Short-Term Hospital,Somers Point,Atlantic County,No,Short Term,302,Point,39.31500097,-74.59356395
210032,UNION HOSPITAL OF CECIL COUNTY,MD,All Others,Short-Term Hospital,Elkton,Cecil County,No,Short Term,166,Point,39.6085682,-75.83114743
210049,UNIVERSITY OF MD UPPER CHESAPEAKE MEDICAL CENTER,MD,All Others,Short-Term Hospital,Bel Air,Harford County,No,Short Term,219,Point,39.51860037,-76.34645032
210019,"TIDALHEALTH PENINSULA REGIONAL, INC",MD,All Others,Short-Term Hospital,Salisbury,Wicomico County,No,Short Term,362,Point,38.36309065,-75.59823554
210006,UNIVERSITY OF MD HARFORD MEMORIAL HOSPITAL,MD,All Others,Short-Term Hospital,Havre De Grace,Harford County,No,Short Term,101,Point,39.54296275,-76.09150803
210034,MEDSTAR HARBOR HOSPITAL,MD,All Others,Short-Term Hospital,Baltimore,Baltimore City,No,Short Term,376,Point,39.25141405,-76.61500641
210015,MEDSTAR FRANKLIN SQUARE MEDICAL CENTER,MD,All Others,Short-Term Hospital,Rosedale,Baltimore County,No,Short Term,405,Point,39.35018744,-76.47990598
210065,HOLY CROSS GERMANTOWN HOSPITAL,MD,All Others,Short-Term Hospital,Germantown,Montgomery County,No,Short Term,93,Point,39.181829,-77.24217302
210001,MERITUS MEDICAL CENTER,MD,All Others,Short-Term Hospital,Hagerstown,Washington County,No,Short Term,271,Point,39.62258899,-77.68552901
210005,FREDERICK HEALTH HOSPITAL,MD,All Others,Short-Term Hospital,Frederick,Frederick County,No,Short Term,248,Point,39.42381601,-77.41427679
210033,CARROLL HOSPITAL CENTER,MD,All Others,Short-Term Hospital,Westminster,Carroll County,No,Short Term,158,Point,39.55760623,-76.990155
210004,HOLY CROSS HOSPITAL,MD,All Others,Short-Term Hospital,Silver Spring,Montgomery County,No,Short Term,444,Point,39.01599258,-77.03542843
210044,GREATER BALTIMORE MEDICAL CENTER,MD,All Others,Short-Term Hospital,Baltimore,Baltimore County,No,Short Term,303,Point,39.39083402,-76.62466295
210018,MEDSTAR MONTGOMERY MEDICAL CENTER,MD,All Others,Short-Term Hospital,Olney,Montgomery County,No,Short Term,165,Point,39.15367033,-77.05672684
210016,ADVENTIST HEALTHCARE WHITE OAK MEDICAL CENTER,MD,All Others,Short-Term Hospital,Silver Spring,Montgomery County,No,Short Term,298,Point,39.04999554,-76.95703414
210011,SAINT AGNES HOSPITAL,MD,All Others,Short-Term Hospital,Baltimore,Baltimore City,No,Short Term,407,Point,39.27292226,-76.67100163
210064,LEVINDALE HEBREW GERIATRIC CENTER AND HOSPITAL,MD,All Others,Short-Term Hospital,Baltimore,Baltimore City,No,Short Term,100,Point,39.35368085,-76.66405295
210068,BALTIMORE CONVENTION CENTER ALTERNATE CARE SITE,MD,All Others,Short-Term Hospital,Baltimore,Baltimore City,No,Short Term,250,Point,39.286431,-76.61625557
210038,UNIVERSITY OF MD MEDICAL CENTER MIDTOWN CAMPUS,MD,All Others,Short-Term Hospital,Baltimore,Baltimore City,No,Short Term,276,Point,39.29950237,-76.62078129
210024,MEDSTAR UNION MEMORIAL HOSPITAL,MD,All Others,Short-Term Hospital,Baltimore,Baltimore City,No,Short Term,370,Point,39.33019417,-76.61412916
210048,HOWARD COUNTY GENERAL HOSPITAL,MD,All Others,Short-Term Hospital,Columbia,Howard County,No,Short Term,233,Point,39.21412271,-76.8871627
210056,MEDSTAR GOOD SAMARITAN HOSPITAL,MD,All Others,Short-Term Hospital,Baltimore,Baltimore City,No,Short Term,208,Point,39.35912833,-76.58875505
210009,"JOHNS HOPKINS HOSPITAL, THE",MD,All Others,Short-Term Hospital,Baltimore,Baltimore City,No,Short Term,1025,Point,39.29701965,-76.59082596
210012,SINAI HOSPITAL OF BALTIMORE,MD,All Others,Short-Term Hospital,Baltimore,Baltimore City,No,Short Term,413,Point,39.35227399,-76.66108299
210039,CALVERTHEALTH MEDICAL CENTER,MD,All Others,Short-Term Hospital,Prince Frederick,Calvert County,No,Short Term,106,Point,38.55943949,-76.59677058
210028,MEDSTAR SAINT MARY'S HOSPITAL,MD,All Others,Short-Term Hospital,Leonardtown,St. Mary's County,No,Short Term,107,Point,38.30201,-76.63840299
210060,ADVENTIST HEALTHCARE FORT WASHINGTON MEDICAL CTR,MD,All Others,Short-Term Hospital,Fort Washington,Prince George's County,No,Short Term,37,Point,38.72868395,-76.9926078
210035,UNIVERSITY OF MD CHARLES REGIONAL  MEDICAL CENTER,MD,All Others,Short-Term Hospital,La Plata,Charles County,No,Short Term,131,Point,38.52929406,-76.97090244
210023,"LUMINIS HEALTH ANNE ARUNDEL MEDICAL CENTER, INC",MD,All Others,Short-Term Hospital,Annapolis,Anne Arundel County,No,Short Term,370,Point,38.99038,-76.53357002
210062,MEDSTAR SOUTHERN MARYLAND HOSPITAL CENTER,MD,All Others,Short-Term Hospital,Clinton,Prince George's County,No,Short Term,239,Point,38.74815821,-76.87562661
